"Tijdstempel","Is het gelukt om een account aan te maken?","Was het duidelijk hoe je een account moest aanmaken en wat de procedure is voor het ontvangen van bepaalde rechten?(bewerken van matten)","Is het duidelijk hoe je kan inloggen nadat je een account hebt aangemaakt?","Is het duidelijk hoe je kan uitloggen?","Is het duidelijk hoe je nieuwe matten en categorieën kan toevoegen?","Is het duidelijk hoe je bestaande matten, categorieën en gebruikers kan bewerken en dat je niet altijd alle opties van een bepaald element kan bewerken?","Is het duidelijk hoe je bestaande matten, categorieën en gebruikers kan verwijderen?","Is het duidelijk hoe je verschillende gebruikers toegang kan geven en weigeren voor de achterkant(Toevoegen/verwijderen) van het spel?","Is de manier van het toevoegen, bewerken en verwijderen verder duidelijk genoeg of ben je nog verschillende problemen/vragen tegengekomen? ","Ik het systeem van toevoegen bewerken en verwijderen verder fijn om mee te werken? Doet het aan de verwachtingen?","Heb je wellicht nog tips voor mij?"
"2021/05/22 11:14:10 a.m. EET","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Het is mij gelukt","Ja",""
"2021/05/25 11:57:16 a.m. EET","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","geen vragen","ja","even kijken afwijking beebot"
